Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h),Batterie (volts),statut de la température,statut du LOG,statut du WSS,statut du GPS
2025-05-09 10:16:03,22.6,34.6,1010.3,0.0,262.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:03,22.6,34.6,1010.3,0.0,261.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:04,22.6,34.6,1010.3,0.0,261.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:04,22.6,34.6,1010.3,0.0,261.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:04,22.6,34.6,1010.3,0.0,261.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:05,22.6,34.6,1010.3,0.0,261.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:05,22.6,34.6,1010.3,0.0,261.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:06,22.6,34.6,1010.3,0.0,261.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:06,22.6,34.6,1010.3,0.0,261.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:06,22.6,34.6,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:07,22.6,34.5,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:07,22.6,34.5,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
